layer_idx,weight_name,fp32_min,fp32_max,int8_scale,dead_zone_threshold,% weights in dead zone,rank
0,layer_0_weight,-2.5,2.5,0.019,0.016,0.2144125120269866,2
1,layer_1_weight,-2.5,2.5,0.019,0.016,0.4247204616567559,2
2,layer_2_weight,-2.5,2.5,0.019,0.016,0.33147304698201197,2
3,layer_3_weight,-2.5,2.5,0.019,0.016,0.24690992873743653,2
4,layer_4_weight,-2.5,2.5,0.019,0.016,0.45644426385056913,2
5,layer_5_weight,-2.5,2.5,0.019,0.016,0.5041226677853798,2
6,layer_6_weight,-2.5,2.5,0.019,0.016,0.39342880170004113,2
7,layer_7_weight,-2.5,2.5,0.019,0.016,0.2778091928999745,2
8,layer_8_weight,-2.5,2.5,0.019,0.016,0.31479294185178774,2
9,layer_9_weight,-2.5,2.5,0.019,0.016,0.24362998895043111,2
